sample_type,rand_id,landslide_id,x,y,pt_elev,area_m2,z_min,z_max,relief_m
random,644,858,413873.1055701394,2749181.5101227583,399.0,7657.537918155827,391.0,453.0,62.0
random,645,3553,427962.7831981028,2755427.2843025853,602.0,10048.169797192042,586.0,735.0,149.0
random,646,3653,404311.8438510392,2755769.7613283223,228.0,2746.5268912611327,226.0,242.0,16.0
random,647,5721,423583.61054064485,2759657.6247715075,460.0,863.3686784655745,453.0,463.0,10.0
random,648,3487,409277.67106885964,2755459.61978267,245.0,2948.722473951402,231.0,250.0,19.0
random,649,3221,429876.6715236254,2754905.0599113116,565.0,1453.1265196008471,561.0,588.0,27.0
random,650,4735,426401.2682513554,2757907.410400622,441.0,1529.302334209608,445.0,454.0,9.0
random,651,5738,427799.401565196,2759450.8815980833,448.0,73328.69187946139,425.0,557.0,132.0
random,652,3158,408492.696248536,2754758.885670657,186.0,2855.388508391558,185.0,190.0,5.0
random,653,3297,414502.2419214271,2755047.0103685027,370.0,6117.704455756854,332.0,396.0,64.0
random,654,1615,408765.58440997696,2751617.016144584,228.0,9634.126098615185,177.0,241.0,64.0
random,655,2480,405715.08370925125,2753495.5657599284,298.0,2611.78610539331,279.0,308.0,29.0
random,656,6026,421483.36425728205,2760611.484187042,404.0,2767.691009409323,376.0,419.0,43.0
random,657,3464,408114.8906732834,2755411.5540598757,265.0,2888.2984288282246,208.0,265.0,57.0
random,658,4433,408995.4617631807,2757448.8343961504,276.0,145.17308843164665,,,
random,659,3012,417644.4881391003,2754532.0461238143,481.0,1227.8110805165677,481.0,521.0,40.0
random,660,3445,410583.6424678167,2755284.9994823765,279.0,9174.896723792272,260.0,284.0,24.0
random,661,3225,408798.65192124195,2754843.482134792,195.0,4346.042211172309,193.0,201.0,8.0
random,662,1417,403923.71552718134,2751068.722182617,304.0,2181.9186145780964,289.0,311.0,22.0
random,663,4636,402422.6309292549,2757740.575053136,254.0,1828.3278857906728,244.0,267.0,23.0
random,664,4252,421877.12944979966,2757043.0531560364,318.0,977.3188195676096,303.0,325.0,22.0
random,665,813,424095.0836813711,2749080.1949564125,571.0,3204.492572499636,559.0,575.0,16.0
