point_id,landslide_id,x,y,pt_elev,pt_slope,pt_lith,area_m2,z_min,z_max,relief_m
196,196,424721.5,2746340.75,668,23.68390274,燕山中期正长花岗岩,295.856308,666,668,2
197,197,432821.5,2746340.75,426,19.91116714,燕山早期正长花岗岩,889.4058216,417,426,9
198,198,431346.5,2746365.75,481,25.81470108,石炭系林地组,2812.601668,421,481,60
199,199,429796.5,2746365.75,520,16.69924355,元古界楼子坝组,262.2996272,520,520,0
200,200,429396.5,2746415.75,568,20.36564255,元古界楼子坝组,517.9905562,562,568,6
201,201,427796.5,2746440.75,670,24.3595562,燕山中期正长花岗岩,511.3847196,660,670,10
202,202,429471.5,2746415.75,559,18.86838341,元古界楼子坝组,816.8884706,552,559,7
203,203,431484,2746478.25,482,25.0884304,石炭系林地组,333.1254992,482,482,0
204,204,426846.5,2746490.75,477,15.68014145,燕山中期正长花岗岩,531.2097071,470,477,7
205,205,427234,2746465.75,504,16.61135101,燕山中期正长花岗岩,1008.026907,492,504,12
206,206,427896.5,2746515.75,675,25.21839523,燕山中期正长花岗岩,149.9580958,669,675,6
207,207,432546.5,2746465.75,429,21.80140877,燕山早期正长花岗岩,1786.249854,408,429,21
208,208,424784,2746515.75,592,19.68572998,燕山中期正长花岗岩,414.2951646,591,592,1
209,209,427021.5,2746528.25,473,12.07961655,燕山中期正长花岗岩,376.1657472,467,473,6
210,210,431884,2746528.25,543,27.41360664,石炭系林地组,962.2229102,525,543,18
211,211,427046.5,2746528.25,476,15.58519554,燕山中期正长花岗岩,504.2660447,473,476,3
212,212,432709,2746553.25,383,13.49573326,燕山早期正长花岗岩,970.2210215,375,383,8
213,213,428009,2746553.25,682,33.34601212,元古界楼子坝组,873.3137909,658,682,24
214,214,431584,2746553.25,544,31.69176102,石炭系林地组,3963.923298,454,544,90
215,215,427959,2746565.75,699,31.26985168,元古界楼子坝组,1611.408886,649,699,50
216,216,430921.5,2746578.25,434,22.05857849,元古界楼子坝组,230.7789027,433,434,1
217,217,421359,2746565.75,562,19.25354195,燕山中期正长花岗岩,301.447482,557,562,5
218,218,431946.5,2746565.75,512,28.55691528,石炭系林地组,1720.162225,494,512,18
219,219,430534,2746490.75,474,25.00792885,元古界楼子坝组,9367.921436,381,474,93
220,220,430396.5,2746615.75,434,11.36487675,元古界楼子坝组,1060.871252,428,434,6
221,221,432809,2746590.75,399,11.52797318,燕山早期正长花岗岩,1291.638829,392,399,7
222,222,430846.5,2746628.25,427,29.98014069,元古界楼子坝组,2333.672892,386,427,41
223,223,427746.5,2746465.75,685,3.433630466,燕山中期正长花岗岩,5564.089149,588,685,97
224,224,425184,2746615.75,508,31.38661385,燕山中期正长花岗岩,554.083816,501,508,7
