OBJECTID,ridge_dist,top_x,top_y,top_z,top_slope_deg,ridge_x,ridge_y,ridge_z,long_axis_len
3195,169.7,416823.87816529034,2754876.1044319156,475.2277222029443,30.737526083800457,416803.13137566176,2755044.5314508886,538.0650560572774,127.15021047370507
3196,44.9,428011.3766091451,2754864.596673227,550.0439158229677,32.05064263526879,428055.1834274411,2754854.7492029537,584.7987647381399,29.97809793287292
3197,181.5,420603.98077611526,2754873.188030168,501.08136371022556,26.024509243690748,420451.2890508957,2754971.3077888787,551.7846145900985,121.0098017475561
3198,57.6,410099.04137140827,2754853.5345951244,255.9548290655813,18.255059151203536,410150.29931593564,2754827.259452445,273.86859577305455,38.45624893993206
3199,16.9,414375.3957788625,2754851.4527036133,373.8992103553032,11.309932474020215,414360.56929690426,2754843.341881661,375.15528740500076,53.09804290675013
3200,38.4,409764.84116362705,2754878.5315148593,221.0,3.2376881462291047,409774.35468314815,2754915.734376931,225.90334899594473,25.61228704836012
3201,64.1,430834.5377054224,2754861.194835848,528.97384893448,18.7477906121146,430894.2604024212,2754884.4759325404,544.6740093452897,55.54793960153171
3202,17.1,410236.29378344567,2754878.1011537015,318.7101952948433,16.089894054824914,410252.78691166267,2754882.616319437,322.6956581769118,100.02445718214761
3203,46.8,414967.378846425,2754869.9653972276,307.9865861080283,19.91116713616606,415012.82622771675,2754858.795100288,318.6023993191584,31.88721366882457
3204,81.3,416930.3953542772,2754890.31171397,498.3246855879552,22.19160656627279,416976.8486907362,2754957.0333561245,522.9649745977531,54.23273369575973
3205,124.2,419627.61037916836,2754888.493503557,626.9615603734565,30.96375653207352,419538.2924998369,2754974.7950471803,681.4312188981712,82.84930248417656
3206,64.1,420174.5110127634,2754891.129231859,553.9472876381478,30.737526083800457,420114.66249772726,2754914.084955502,577.4201855787978,42.7345638694256
3207,97.8,419141.0568186125,2754890.498369446,642.5564898891098,32.31153323742385,419070.10483223485,2754957.808514514,688.2832745370347,91.3111740549909
3208,30.3,408630.27803875826,2754897.943100741,219.4173717751837,19.685730102414364,408617.2852923141,2754925.316053447,228.47020605700527,20.235650886638474
3209,24.6,419489.7591140874,2754873.090058453,634.7761791559169,31.461727595704176,419465.1652026162,2754872.5427755765,638.3039543228224,55.28660100977066
3210,52.7,430781.3802195382,2754905.252295937,519.013582861208,21.89988173570756,430817.8696802083,2754943.276094537,529.0774085326036,39.38316765245411
3211,98.3,426521.7700638074,2754872.0548162432,572.0300543108024,18.987982145065274,426616.3773138337,2754845.364776107,613.9335643744998,65.54910366481549
3212,0.0,428282.95370865316,2754782.832888206,703.603528737193,25.795492628543876,428282.95370865316,2754782.832888206,703.603528737193,132.65657627467206
3213,105.1,415453.4739559326,2754908.134270816,327.78830470204537,25.71843256387208,415489.9713221338,2755006.693655252,373.86017309495776,70.10611466143689
3214,57.3,411784.2367367963,2754908.362868948,291.9031450460357,11.309932474020215,411810.9036887121,2754959.0793719376,308.51769411699206,38.25818209181654
3215,0.0,409466.9352442946,2754808.4081040598,228.8534037434477,7.209120586689089,409466.9352442946,2754808.4081040598,228.8534037434477,102.14434971789068
3216,88.2,420404.04008382,2754897.8975163107,516.5340145346781,25.71843256387208,420477.1252928427,2754947.2715198155,541.0586313536478,58.85224142437247
