OBJECTID,ls_count,x_ctr,y_ctr,
65,0,386309.5044,2766251.442,
66,0,399275.7853,2799634.066,
67,0,409887.3553,2761928.809,
68,0,393887.3553,2762928.809,
69,0,396887.3553,2763928.809,
70,0,407887.3553,2779928.809,
71,0,398887.3553,2761928.809,
72,0,428802.8384,2798992.84,
2464,53,414887.3553,2754928.809,0.008227259
74,0,431861.7309,2788598.047,
75,0,423078.7284,2744810.588,
76,0,427887.3553,2779928.809,
77,0,418887.3553,2803928.809,
78,0,414887.3553,2803928.809,
79,0,408887.3553,2777928.809,
1557,52,405887.3553,2751928.809,0.008072027
81,0,394887.3553,2795928.809,
82,0,405887.3553,2765928.809,
83,0,426886.1203,2815927.614,
1402,51,408887.3553,2754928.809,0.007916796
85,0,418120.9941,2751153.978,
86,0,401887.3553,2781928.809,
1629,51,405887.3553,2753928.809,0.007916796
88,0,388887.3553,2786928.809,
89,0,397973.7692,2797796.048,
90,0,415011.6602,2818590.838,
91,0,401887.3553,2784928.809,
92,0,412887.3553,2802928.809,
93,0,408887.3553,2770928.809,
94,0,392887.3553,2757928.809,
95,0,401887.3553,2804928.809,
96,0,399887.3553,2804928.809,
97,0,407887.3553,2793928.809,
2136,51,404887.3553,2752928.809,0.007916796
99,0,420887.3553,2810928.809,
100,0,415887.3553,2802928.809,
101,0,411887.3553,2809928.809,
738,50,409887.3553,2754928.809,0.007761565
103,0,397887.3553,2764928.809,
104,0,401887.3553,2805928.809,
105,0,420887.3553,2788928.809,
106,0,397887.3553,2770928.809,
667,48,402994.5912,2752975.757,0.007451102
108,0,401887.3553,2785928.809,
109,0,402887.3553,2788928.809,
110,0,412887.3553,2798928.809,
111,0,402887.3553,2773928.809,
112,0,409887.3553,2809928.809,
113,0,389219.7225,2791482.255,
114,0,405887.3553,2787928.809,
115,0,395887.3553,2783928.809,
1643,48,407887.3553,2752928.809,0.007451102
117,0,406887.3553,2781928.809,
2752,47,410887.3553,2757928.809,0.007295871
119,0,424887.3553,2815928.809,
120,0,422887.3553,2798928.809,
121,0,398887.3553,2787928.809,
122,0,401887.3553,2792928.809,
123,0,421887.3553,2753928.809,
124,0,404887.3553,2803928.809,
125,0,427918.8993,2777073.983,
126,0,406887.3553,2812928.809,
127,0,418887.3553,2786928.809,
128,0,404887.3553,2777928.809,
129,0,426887.3553,2761928.809,
130,0,400887.3553,2795928.809,
472,46,432887.3553,2757928.809,0.00714064
132,0,388889.3017,2758930.791,
133,0,404887.3553,2787928.809,
891,46,411887.3553,2756928.809,0.00714064
135,0,418887.3553,2770928.809,
136,0,420032.3229,2749183.352,
137,0,423887.3553,2776928.809,
138,0,422887.3553,2787928.809,
139,0,425887.3553,2772928.809,
140,0,406887.3553,2787928.809,
2810,45,432887.3553,2748928.809,0.006985408
142,0,411887.3553,2802928.809,
143,0,413887.3553,2768928.809,
144,0,428392.7934,2743427.365,
145,0,396887.3553,2756928.809,
146,0,406887.3553,2780928.809,
187,43,411887.3553,2757928.809,0.006674946
148,0,403887.3553,2763928.809,
149,0,394887.3553,2770928.809,
150,0,408887.3553,2773928.809,
151,0,410887.3553,2780928.809,
152,0,404887.3553,2770928.809,
153,0,407887.3553,2775928.809,
154,0,410887.3553,2790928.809,
155,0,384367.8,2786152.638,
363,43,406887.3553,2749928.809,0.006674946
157,0,422887.3553,2785928.809,
158,0,418887.3553,2787928.809,
159,0,415887.3553,2813928.809,
2052,43,405887.3553,2752928.809,0.006674946
161,0,415887.3553,2780928.809,
792,42,422887.3553,2748928.809,0.006519714
